_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
174,2021-04-02T00:00:52.948Z,/sonometros,NoiseLevelObserved,T248684-daily,60.1,62.1,61.3,58.8,47.6,2021-04-01
175,2021-04-03T00:00:56.997Z,/sonometros,NoiseLevelObserved,T248684-daily,59.3,61.3,60.1,57.5,44.6,2021-04-02
176,2021-04-04T00:00:59.181Z,/sonometros,NoiseLevelObserved,T248684-daily,60.6,62.7,61.4,56.3,47.4,2021-04-03
177,2021-04-05T00:00:07.969Z,/sonometros,NoiseLevelObserved,T248684-daily,58.6,60.4,60.1,58.6,47.4,2021-04-04
178,2021-04-06T00:00:08.859Z,/sonometros,NoiseLevelObserved,T248684-daily,57.5,59.4,58.8,57.9,43.9,2021-04-05
179,2021-04-07T00:00:08.225Z,/sonometros,NoiseLevelObserved,T248684-daily,59.3,61.3,60.5,57.6,47.2,2021-04-06
180,2021-04-08T00:00:23.904Z,/sonometros,NoiseLevelObserved,T248684-daily,59.7,61.6,60.9,58.8,47.6,2021-04-07
181,2021-04-09T00:00:08.842Z,/sonometros,NoiseLevelObserved,T248684-daily,59.5,61.4,60.8,58.5,48.0,2021-04-08
182,2021-04-10T00:00:19.2Z,/sonometros,NoiseLevelObserved,T248684-daily,60.0,62.0,61.5,58.8,49.4,2021-04-09
183,2021-04-11T00:01:15.922Z,/sonometros,NoiseLevelObserved,T248684-daily,59.9,61.9,61.2,57.6,49.2,2021-04-10
184,2021-04-12T00:00:18.461Z,/sonometros,NoiseLevelObserved,T248684-daily,60.9,63.0,61.8,58.2,47.5,2021-04-11
185,2021-04-13T00:01:23.486Z,/sonometros,NoiseLevelObserved,T248684-daily,61.5,63.6,62.2,59.3,44.5,2021-04-12
186,2021-04-14T00:00:25.254Z,/sonometros,NoiseLevelObserved,T248684-daily,59.8,61.8,61.2,57.6,49.2,2021-04-13
187,2021-04-15T00:00:24.45Z,/sonometros,NoiseLevelObserved,T248684-daily,59.1,61.1,60.3,57.1,47.2,2021-04-14
188,2021-04-16T00:00:25.749Z,/sonometros,NoiseLevelObserved,T248684-daily,60.2,62.2,61.2,57.3,48.0,2021-04-15
189,2021-04-17T00:00:27.253Z,/sonometros,NoiseLevelObserved,T248684-daily,60.5,62.2,62.3,61.5,50.2,2021-04-16
190,2021-04-18T00:00:30.649Z,/sonometros,NoiseLevelObserved,T248684-daily,61.8,63.8,62.8,58.4,49.7,2021-04-17
191,2021-04-19T00:00:32.55Z,/sonometros,NoiseLevelObserved,T248684-daily,58.1,60.0,59.5,57.3,47.1,2021-04-18
192,2021-04-20T04:10:05.158Z,/sonometros,NoiseLevelObserved,T248684-daily,60.5,62.5,61.4,57.0,48.0,2021-04-19
193,2021-04-21T00:00:36.892Z,/sonometros,NoiseLevelObserved,T248684-daily,65.3,67.5,65.6,59.1,46.4,2021-04-20
